,#,When,Who,Problem,Lang,Verdict,Time,Memory
29,60225404,Sep/07/2019 17:59,tourist,F - kotlinkotlinkotlinkotlin...,Kotlin,Accepted,202 ms,2000 KB
30,60225001,Sep/07/2019 17:54,tourist,E - Double Permutation Inc.,Kotlin,Accepted,452 ms,16700 KB
31,60224391,Sep/07/2019 17:47,tourist,D - Teams,Kotlin,Accepted,374 ms,35300 KB
32,60224075,Sep/07/2019 17:43,tourist,C - Ice Cream,Kotlin,Accepted,794 ms,11400 KB
33,60224040,Sep/07/2019 17:42,tourist,C - Ice Cream,Kotlin,Compilation error,0 ms,0 KB
34,60223753,Sep/07/2019 17:39,tourist,B - Traveling Around the Golden Ring of Berland,Kotlin,Accepted,358 ms,17000 KB
35,60223650,Sep/07/2019 17:37,tourist,A - Three Problems,Kotlin,Accepted,327 ms,100 KB
36,60218283,Sep/07/2019 15:38,tourist,H - Berland Federalization,Kotlin,Accepted,155 ms,200 KB
37,60218209,Sep/07/2019 15:36,tourist,H - Berland Federalization,Kotlin,Wrong answer on test 4,140 ms,0 KB
38,60217147,Sep/07/2019 15:14,tourist,F - One-Based Arithmetic,Kotlin,Accepted,171 ms,6700 KB
39,60216423,Sep/07/2019 15:00,tourist,G - Hiking,Kotlin,Accepted,998 ms,200 KB
40,60215835,Sep/07/2019 14:49,tourist,B - Two-gram,Kotlin,Accepted,124 ms,0 KB
41,60215644,Sep/07/2019 14:45,tourist,E - Booking System,Kotlin,Accepted,218 ms,200 KB
42,60198531,Sep/07/2019 06:38,tourist,"D - Divide by three, multiply by two",Kotlin,Accepted,155 ms,1100 KB
43,60198315,Sep/07/2019 06:30,tourist,C - Less or Equal,Kotlin,Accepted,389 ms,16800 KB
44,60198239,Sep/07/2019 06:26,tourist,B - Two-gram,Kotlin,Accepted,124 ms,0 KB
45,60198062,Sep/07/2019 06:17,tourist,A - Wrong Subtraction,Kotlin,Accepted,140 ms,100 KB
46,59484058,Aug/25/2019 19:38,tourist,H - Red Blue Tree,GNU C++17,Accepted,3696 ms,21700 KB
47,59481767,Aug/25/2019 19:29,tourist,H - Red Blue Tree,GNU C++17,Wrong answer on pretest 12,171 ms,8700 KB
48,59480188,Aug/25/2019 19:21,tourist,H - Red Blue Tree,GNU C++17,Wrong answer on pretest 12,140 ms,8700 KB
49,59465495,Aug/25/2019 18:16,tourist,G - Polygons,GNU C++17,Accepted,187 ms,3900 KB
50,59463879,Aug/25/2019 18:10,tourist,F - Bits And Pieces,GNU C++17,Accepted,343 ms,20300 KB
51,59458500,Aug/25/2019 17:55,tourist,E - Let Them Slide,GNU C++17,Accepted,1060 ms,86000 KB
52,59454101,Aug/25/2019 17:45,tourist,C - Magic Grid,GNU C++17,Accepted,171 ms,4200 KB
53,59453338,Aug/25/2019 17:43,tourist,D - Restore Permutation,GNU C++17,Accepted,233 ms,3900 KB
54,59451977,Aug/25/2019 17:41,tourist,C - Magic Grid,GNU C++17,Wrong answer on pretest 3,171 ms,0 KB
55,59451380,Aug/25/2019 17:40,tourist,B - Uniqueness,GNU C++17,Accepted,46 ms,0 KB
56,59449116,Aug/25/2019 17:35,tourist,A - XORinacci,GNU C++17,Accepted,46 ms,0 KB
57,59348693,Aug/23/2019 13:53,tourist,D - Mysterious Crime,GNU C++17,Accepted,982 ms,40200 KB
58,59348643,Aug/23/2019 13:52,tourist,D - Mysterious Crime,GNU C++17,Accepted,998 ms,40200 KB
59,58020980,Jul/30/2019 18:52,tourist,F - GCD Groups 2,GNU C++17,Accepted,93 ms,17600 KB
60,58008663,Jul/30/2019 18:13,tourist,D - Rectangle Painting 1,GNU C++17,Accepted,109 ms,36000 KB
61,58006936,Jul/30/2019 18:08,tourist,E - Rectangle Painting 2,GNU C++17,Accepted,31 ms,1700 KB
62,58004780,Jul/30/2019 18:02,tourist,B - Welfare State,GNU C++17,Accepted,265 ms,3900 KB
63,58003280,Jul/30/2019 17:58,tourist,B - Welfare State,GNU C++17,Wrong answer on pretest 6,499 ms,10400 KB
64,57997749,Jul/30/2019 17:46,tourist,C - Matching vs Independent Set,GNU C++17,Accepted,248 ms,10400 KB
65,57995575,Jul/30/2019 17:41,tourist,A - MP3,GNU C++17,Accepted,156 ms,1600 KB
66,54956076,Jun/02/2019 02:09,tourist,G - Gold Experience,GNU C++17,Accepted,1122 ms,104700 KB
67,54939995,Jun/01/2019 19:13,tourist,G - Gold Experience,GNU C++17,Accepted,1091 ms,104900 KB
68,54938188,Jun/01/2019 19:04,tourist,G - Gold Experience,GNU C++17,Skipped,1107 ms,104700 KB
69,54931357,Jun/01/2019 18:30,tourist,E - Earth Wind and Fire,GNU C++17,Accepted,374 ms,14800 KB
70,54931083,Jun/01/2019 18:29,tourist,E - Earth Wind and Fire,GNU C++17,Wrong answer on pretest 3,15 ms,0 KB
71,54928567,Jun/01/2019 18:17,tourist,F - Foo Fighters,GNU C++17,Accepted,280 ms,5900 KB
72,54925990,Jun/01/2019 18:05,tourist,D - Dirty Deeds Done Dirt Cheap,GNU C++17,Accepted,218 ms,5600 KB
73,54923457,Jun/01/2019 17:53,tourist,B - Born This Way,GNU C++17,Accepted,140 ms,1600 KB
74,54921281,Jun/01/2019 17:45,tourist,C - Crazy Diamond,GNU C++17,Accepted,436 ms,27000 KB
75,54919915,Jun/01/2019 17:41,tourist,A - Another One Bites The Dust,GNU C++17,Accepted,46 ms,0 KB
76,54919836,Jun/01/2019 17:41,tourist,C - Crazy Diamond,GNU C++17,Wrong answer on pretest 3,15 ms,0 KB
77,54765451,May/28/2019 19:59,tourist,I - Good Subsets,Kotlin,Accepted,1575 ms,39900 KB
78,54765375,May/28/2019 19:58,tourist,I - Good Subsets,Kotlin,Wrong answer on test 79,171 ms,1200 KB
79,54765288,May/28/2019 19:57,tourist,I - Good Subsets,Kotlin,Wrong answer on test 5,155 ms,1100 KB
80,54764759,May/28/2019 19:49,tourist,I - Good Subsets,Kotlin,Time limit exceeded on test 98,6000 ms,38000 KB
81,54762607,May/28/2019 19:13,tourist,G - Graph Decomposition,Kotlin,Accepted,810 ms,45300 KB
82,54762013,May/28/2019 19:04,tourist,G - Graph Decomposition,Kotlin,Wrong answer on test 6,592 ms,22000 KB
83,54760261,May/28/2019 18:40,tourist,H - Longest Saw,Kotlin,Accepted,482 ms,17700 KB
84,54758921,May/28/2019 18:23,tourist,E - Sliding Doors,Kotlin,Accepted,670 ms,24200 KB
85,54758319,May/28/2019 18:16,tourist,F - Wheels,Kotlin,Accepted,467 ms,21500 KB
86,54757710,May/28/2019 18:09,tourist,D - Decoding of Integer Sequences,Kotlin,Accepted,452 ms,29300 KB
87,54757107,May/28/2019 18:01,tourist,F - Wheels,Kotlin,Wrong answer on test 29,405 ms,16900 KB
88,54755665,May/28/2019 17:44,tourist,C - Minus and Minus Give Plus,Kotlin,Accepted,842 ms,0 KB
89,54755390,May/28/2019 17:41,tourist,B - Bad Days,Kotlin,Accepted,327 ms,16200 KB
90,54755269,May/28/2019 17:40,tourist,A - Three Integers Again,Kotlin,Accepted,171 ms,200 KB
91,53785875,May/05/2019 13:03,tourist,U - The Greatest Possible Value (3 points),,Perfect result: 3 points,,
92,53784594,May/05/2019 12:47,tourist,T - Compute the Product (3 points),,Perfect result: 3 points,,
93,53784080,May/05/2019 12:40,tourist,L - Queens (2 points),,Perfect result: 2 points,,
94,53783405,May/05/2019 12:31,tourist,K - 2018 Integers (2 points),,Wrong answer on test 1,,
95,53783197,May/05/2019 12:28,tourist,I - Maximum Value (2 points),,Perfect result: 2 points,,
96,53782719,May/05/2019 12:22,tourist,F - Regular Polygon (1 point),,Perfect result: 1 points,,
97,53781968,May/05/2019 12:12,tourist,M - Seven Digit Number (2 points),,Perfect result: 2 points,,
98,53781764,May/05/2019 12:10,tourist,B - Triangle Area (1 point),,Perfect result: 1 points,,
99,53781511,May/05/2019 12:07,tourist,D - Multiple of 29 (1 point),,Perfect result: 1 points,,
100,53781199,May/05/2019 12:03,tourist,C - 7-digit Number (1 point),,Perfect result: 1 points,,
101,53781054,May/05/2019 12:01,tourist,S - Find Distance (3 points),,Perfect result: 3 points,,
102,53780144,May/05/2019 11:50,tourist,H - Circle Radius (2 points),,Perfect result: 2 points,,
103,53779752,May/05/2019 11:46,tourist,R - Divisible by 83 (3 points),,Perfect result: 3 points,,
104,53779720,May/05/2019 11:45,tourist,Q - Surjective Functions (3 points),,Perfect result: 3 points,,
105,53779703,May/05/2019 11:45,tourist,P - Equilateral Triangles (2 points),,Perfect result: 2 points,,
106,53779689,May/05/2019 11:45,tourist,O - Greatest Prime Divisor (2 points),,Perfect result: 2 points,,
107,53779686,May/05/2019 11:45,tourist,N - All Streets (2 points),,Perfect result: 2 points,,
108,53779587,May/05/2019 11:44,tourist,J - Eleven Segments (2 points),,Perfect result: 2 points,,
109,53779531,May/05/2019 11:43,tourist,G - Find Number (1 point),,Perfect result: 1 points,,
110,53779524,May/05/2019 11:43,tourist,E - Least Possible Difference (1 point),,Perfect result: 1 points,,
111,53779465,May/05/2019 11:43,tourist,A - Three Friends (1 point),,Perfect result: 1 points,,
112,53612717,May/01/2019 16:58,tourist,A2 - Collaboration,GNU C++14,Partial result: 551578.592 points,14741 ms,900 KB
113,53612586,May/01/2019 16:54,tourist,A2 - Collaboration,GNU C++14,Skipped,14539 ms,800 KB
114,53611963,May/01/2019 16:35,tourist,A2 - Collaboration,GNU C++14,Skipped,14305 ms,900 KB
115,53611648,May/01/2019 16:25,tourist,A2 - Collaboration,GNU C++14,Skipped,14304 ms,900 KB
116,53611341,May/01/2019 16:14,tourist,A2 - Collaboration,GNU C++14,Skipped,14305 ms,900 KB
117,53591051,May/01/2019 02:34,tourist,A2 - Collaboration,GNU C++14,Skipped,13540 ms,800 KB
118,53590784,May/01/2019 02:09,tourist,A2 - Collaboration,GNU C++14,Skipped,13540 ms,800 KB
119,53590685,May/01/2019 01:59,tourist,A2 - Collaboration,GNU C++14,Skipped,13555 ms,800 KB
120,53590640,May/01/2019 01:54,tourist,A2 - Collaboration,GNU C++14,Skipped,13572 ms,800 KB
121,53590560,May/01/2019 01:48,tourist,A2 - Collaboration,GNU C++14,Skipped,13540 ms,700 KB
122,53590387,May/01/2019 01:35,tourist,A2 - Collaboration,GNU C++14,Skipped,62 ms,300 KB
123,53068227,Apr/20/2019 22:09,tourist,H - Satanic Panic,GNU C++17,Accepted,1762 ms,3400 KB
124,53066321,Apr/20/2019 21:52,tourist,F - Leaf Partition,GNU C++17,Accepted,124 ms,12500 KB
125,53065345,Apr/20/2019 21:45,tourist,G - Zoning Restrictions,GNU C++17,Accepted,46 ms,400 KB
126,53063358,Apr/20/2019 21:32,tourist,E - Hot is Cold,GNU C++17,Accepted,249 ms,5100 KB
127,53063166,Apr/20/2019 21:31,tourist,E - Hot is Cold,GNU C++17,Runtime error on pretest 8,124 ms,5100 KB
128,53060551,Apr/20/2019 21:17,tourist,D - Frog Jumping,GNU C++17,Accepted,46 ms,600 KB
129,53058489,Apr/20/2019 21:10,tourist,C - Tree Diameter,GNU C++17,Accepted,234 ms,200 KB
130,53057452,Apr/20/2019 21:07,tourist,"B - Hate ""A""",GNU C++17,Accepted,31 ms,500 KB
131,53056898,Apr/20/2019 21:05,tourist,"A - Love ""A""",GNU C++17,Accepted,31 ms,0 KB
132,52405024,Apr/06/2019 15:54,tourist,F - Niyaz and Small Degrees,GNU C++17,Accepted,732 ms,70500 KB
133,52404688,Apr/06/2019 15:52,tourist,F - Niyaz and Small Degrees,GNU C++17,Wrong answer on pretest 5,46 ms,3100 KB
134,52388780,Apr/06/2019 14:48,tourist,E - Pavel and Triangles,GNU C++17,Accepted,108 ms,2400 KB
135,52387452,Apr/06/2019 14:44,tourist,D - Frets On Fire,GNU C++17,Accepted,218 ms,7800 KB
136,52385893,Apr/06/2019 14:40,tourist,C - Ramesses and Corner Inversion,GNU C++17,Accepted,124 ms,2000 KB
137,52384891,Apr/06/2019 14:38,tourist,B - Alyona and a Narrow Fridge,GNU C++17,Accepted,46 ms,0 KB
138,52384630,Apr/06/2019 14:36,tourist,A - Ilya and a Colorful Walk,GNU C++17,Accepted,93 ms,1200 KB
139,50662253,Mar/02/2019 03:44,tourist,D5 - Creeper,Q#,Accepted,187 ms,0 KB
140,50662098,Mar/02/2019 03:32,tourist,D4 - TIE fighter,Q#,Accepted,529 ms,0 KB
141,50661328,Mar/02/2019 02:33,tourist,B1 - Distinguish three-qubit states,Q#,Accepted,374 ms,3300 KB
142,50661279,Mar/02/2019 02:29,tourist,A1 - Generate state |00⟩ + |01⟩ + |10⟩,Q#,Accepted,186 ms,0 KB
143,50660632,Mar/02/2019 01:43,tourist,D4 - TIE fighter,Q#,Accepted,545 ms,0 KB
144,50660337,Mar/02/2019 01:27,tourist,D3 - X-wing fighter,Q#,Accepted,514 ms,0 KB
145,50659538,Mar/02/2019 00:49,tourist,A2 - Generate equal superposition of four basis states,Q#,Runtime error on test 5,202 ms,0 KB
146,50659517,Mar/02/2019 00:48,tourist,A2 - Generate equal superposition of four basis states,Q#,Accepted,343 ms,5500 KB
147,50659403,Mar/02/2019 00:43,tourist,A2 - Generate equal superposition of four basis states,Q#,Runtime error on test 3,218 ms,500 KB
148,50659032,Mar/02/2019 00:23,tourist,A2 - Generate equal superposition of four basis states,Q#,Runtime error on test 3,233 ms,500 KB
149,50658974,Mar/02/2019 00:21,tourist,A2 - Generate equal superposition of four basis states,Q#,Runtime error on test 3,187 ms,0 KB
150,50658962,Mar/02/2019 00:21,tourist,A2 - Generate equal superposition of four basis states,Q#,Compilation error,0 ms,0 KB
151,50658842,Mar/02/2019 00:16,tourist,A2 - Generate equal superposition of four basis states,Q#,Runtime error on test 3,218 ms,0 KB
152,50658801,Mar/02/2019 00:14,tourist,A2 - Generate equal superposition of four basis states,Q#,Runtime error on test 2,218 ms,0 KB
153,50656209,Mar/01/2019 22:41,tourist,D3 - X-wing fighter,Q#,Wrong answer on test 1,156 ms,0 KB
154,50656188,Mar/01/2019 22:40,tourist,D3 - X-wing fighter,Q#,Runtime error on test 1,124 ms,0 KB
155,50656064,Mar/01/2019 22:37,tourist,D3 - X-wing fighter,Q#,Runtime error on test 1,124 ms,0 KB
156,50655881,Mar/01/2019 22:32,tourist,D2 - Pattern of increasing blocks,Q#,Accepted,607 ms,2200 KB
157,50655252,Mar/01/2019 22:16,tourist,A1 - Generate state |00⟩ + |01⟩ + |10⟩,Q#,Accepted,124 ms,0 KB
158,50654382,Mar/01/2019 21:54,tourist,D3 - X-wing fighter,Q#,Runtime error on test 1,139 ms,0 KB
159,50654362,Mar/01/2019 21:54,tourist,D3 - X-wing fighter,Q#,Wrong answer on test 1,187 ms,0 KB
160,50654139,Mar/01/2019 21:48,tourist,D3 - X-wing fighter,Q#,Compilation error,0 ms,0 KB
161,50654044,Mar/01/2019 21:47,tourist,D3 - X-wing fighter,Q#,Runtime error on test 1,124 ms,0 KB
162,50654035,Mar/01/2019 21:46,tourist,D3 - X-wing fighter,Q#,Runtime error on test 1,108 ms,0 KB
163,50653860,Mar/01/2019 21:43,tourist,D3 - X-wing fighter,Q#,Wrong answer on test 1,170 ms,0 KB
164,50653712,Mar/01/2019 21:40,tourist,D3 - X-wing fighter,Q#,Wrong answer on test 1,155 ms,0 KB
165,50653048,Mar/01/2019 21:24,tourist,D2 - Pattern of increasing blocks,Q#,Compilation error,0 ms,0 KB
166,50652995,Mar/01/2019 21:23,tourist,D2 - Pattern of increasing blocks,Q#,Wrong answer on test 2,140 ms,0 KB
167,50652890,Mar/01/2019 21:20,tourist,D2 - Pattern of increasing blocks,Q#,Wrong answer on test 2,171 ms,0 KB
168,50652851,Mar/01/2019 21:19,tourist,D2 - Pattern of increasing blocks,Q#,Wrong answer on test 1,140 ms,0 KB
169,50652416,Mar/01/2019 21:09,tourist,"C3 - ""Is the number of ones divisible by 3?"" oracle",Q#,Accepted,2214 ms,98800 KB
170,50652363,Mar/01/2019 21:08,tourist,"C3 - ""Is the number of ones divisible by 3?"" oracle",Q#,Wrong answer on test 1,108 ms,0 KB
171,50651913,Mar/01/2019 20:57,tourist,"C2 - ""Is the bit string periodic?"" oracle",Q#,Accepted,2682 ms,50600 KB
172,50651902,Mar/01/2019 20:57,tourist,"C2 - ""Is the bit string periodic?"" oracle",Q#,Time limit exceeded on test 6,4000 ms,50700 KB
173,50651861,Mar/01/2019 20:56,tourist,"C2 - ""Is the bit string periodic?"" oracle",Q#,Time limit exceeded on test 6,4000 ms,50900 KB
174,50651776,Mar/01/2019 20:54,tourist,"C2 - ""Is the bit string periodic?"" oracle",Q#,Accepted,2822 ms,50500 KB
175,50651644,Mar/01/2019 20:51,tourist,"C2 - ""Is the bit string periodic?"" oracle",Q#,Time limit exceeded on test 6,4000 ms,6900 KB
176,50651559,Mar/01/2019 20:49,tourist,"C2 - ""Is the bit string periodic?"" oracle",Q#,Time limit exceeded on test 6,4000 ms,7300 KB
177,50651336,Mar/01/2019 20:44,tourist,"C2 - ""Is the bit string periodic?"" oracle",Q#,Time limit exceeded on test 6,4000 ms,50700 KB
178,50650898,Mar/01/2019 20:33,tourist,C1 - Alternating bits oracle,Q#,Accepted,576 ms,98900 KB
179,50650371,Mar/01/2019 20:22,tourist,D1 - Block diagonal matrix,Q#,Accepted,592 ms,0 KB
180,49588803,Feb/07/2019 17:56,tourist,F - Nearest Leaf,GNU C++14,Accepted,1653 ms,51700 KB
181,49584456,Feb/07/2019 17:37,tourist,G - Tree-Tac-Toe,GNU C++14,Accepted,483 ms,24400 KB
182,49574216,Feb/07/2019 17:01,tourist,D - Jongmah,GNU C++14,Accepted,1091 ms,3900 KB
183,49571919,Feb/07/2019 16:54,tourist,E - Magic Stones,GNU C++14,Accepted,78 ms,2700 KB
184,49566100,Feb/07/2019 16:42,tourist,C - Meaningless Operations,GNU C++14,Accepted,15 ms,200 KB
185,49563879,Feb/07/2019 16:38,tourist,B - Tape,GNU C++14,Accepted,61 ms,1500 KB
186,49563075,Feb/07/2019 16:36,tourist,A - Parity,GNU C++14,Accepted,46 ms,400 KB
187,48071254,Jan/08/2019 02:27,tourist,H - Epic Convolution,GNU C++14,Accepted,764 ms,55400 KB
188,48071240,Jan/08/2019 02:25,tourist,H - Epic Convolution,GNU C++14,Accepted,1684 ms,76000 KB
189,48070981,Jan/08/2019 01:53,tourist,H - Epic Convolution,GNU C++14,Accepted,3026 ms,74300 KB
190,48070967,Jan/08/2019 01:53,tourist,H - Epic Convolution,GNU C++14,Accepted,3073 ms,74300 KB
191,48070928,Jan/08/2019 01:48,tourist,H - Epic Convolution,GNU C++14,Accepted,3993 ms,73500 KB
192,48070888,Jan/08/2019 01:44,tourist,H - Epic Convolution,GNU C++14,Time limit exceeded on test 57,4000 ms,73500 KB
193,48070844,Jan/08/2019 01:40,tourist,H - Epic Convolution,GNU C++14,Time limit exceeded on test 11,4000 ms,72900 KB
194,48070028,Jan/08/2019 00:24,tourist,E - The Child and Binary Tree,GNU C++14,Accepted,530 ms,9100 KB
195,48043980,Jan/07/2019 02:07,tourist,E - The Child and Binary Tree,GNU C++14,Accepted,530 ms,8300 KB
196,48043927,Jan/07/2019 02:02,tourist,E - The Child and Binary Tree,GNU C++14,Accepted,904 ms,11900 KB
197,48042764,Jan/07/2019 00:21,tourist,G - Flowers and Chocolate,GNU C++14,Accepted,233 ms,300 KB
198,48042747,Jan/07/2019 00:20,tourist,G - Flowers and Chocolate,GNU C++14,Accepted,436 ms,400 KB
199,48042330,Jan/06/2019 23:46,tourist,G - Flowers and Chocolate,GNU C++14,Accepted,234 ms,300 KB
200,48042234,Jan/06/2019 23:39,tourist,G - Flowers and Chocolate,GNU C++14,Accepted,312 ms,400 KB
201,48042200,Jan/06/2019 23:36,tourist,G - Flowers and Chocolate,GNU C++14,Accepted,1092 ms,300 KB
202,47950269,Jan/05/2019 02:39,tourist,H - Mateusz and an Infinite Sequence,GNU C++14,Accepted,109 ms,27000 KB
203,47950190,Jan/05/2019 02:31,tourist,H - Mateusz and an Infinite Sequence,GNU C++14,Accepted,171 ms,27000 KB
204,47950143,Jan/05/2019 02:25,tourist,H - Mateusz and an Infinite Sequence,GNU C++14,Wrong answer on test 25,171 ms,6500 KB
205,47947764,Jan/04/2019 23:37,tourist,G - Vladislav and a Great Legend,GNU C++14,Accepted,1653 ms,262000 KB
206,47947758,Jan/04/2019 23:37,tourist,G - Vladislav and a Great Legend,GNU C++14,Accepted,1216 ms,262200 KB
207,47943620,Jan/04/2019 20:44,tourist,H - Mateusz and an Infinite Sequence,GNU C++14,Wrong answer on pretest 1,15 ms,0 KB
208,47941027,Jan/04/2019 20:23,tourist,E - Egor and an RPG game,GNU C++14,Accepted,1044 ms,4400 KB
209,47940565,Jan/04/2019 20:18,tourist,E - Egor and an RPG game,GNU C++14,Wrong answer on pretest 1,15 ms,800 KB
210,47934106,Jan/04/2019 19:27,tourist,E - Egor and an RPG game,GNU C++14,Runtime error on pretest 2,15 ms,200 KB
211,47932161,Jan/04/2019 19:14,tourist,G - Vladislav and a Great Legend,GNU C++14,Accepted,1684 ms,262200 KB
212,47919370,Jan/04/2019 18:17,tourist,F - Alex and a TV Show,GNU C++14,Accepted,1450 ms,98800 KB
213,47911474,Jan/04/2019 17:58,tourist,D - Makoto and a Blackboard,GNU C++14,Accepted,202 ms,2000 KB
214,47906986,Jan/04/2019 17:51,tourist,C - Yuhao and a Parenthesis,GNU C++14,Accepted,46 ms,1100 KB
215,47902342,Jan/04/2019 17:47,tourist,B - Petr and a Combination Lock,GNU C++14,Accepted,31 ms,0 KB
216,47901870,Jan/04/2019 17:45,tourist,A - Gennady and a Card Game,GNU C++14,Accepted,31 ms,0 KB
217,47887544,Jan/04/2019 05:03,tourist,F - Long number,GNU C++14,Accepted,311 ms,2800 KB
218,47887541,Jan/04/2019 05:03,tourist,F - Long number,GNU C++14,Accepted,327 ms,3200 KB
219,47758745,Dec/30/2018 19:29,tourist,H - New Year and the Tricolore Recreation,GNU C++14,Accepted,2199 ms,4400 KB
220,47753526,Dec/30/2018 18:55,tourist,G - New Year and the Factorisation Collaboration,Java 8,Accepted,171 ms,0 KB
221,47748362,Dec/30/2018 18:30,tourist,F - New Year and the Mallard Expedition,GNU C++14,Accepted,140 ms,2000 KB
222,47748010,Dec/30/2018 18:28,tourist,F - New Year and the Mallard Expedition,GNU C++14,Time limit exceeded on pretest 11,1000 ms,0 KB
223,47739626,Dec/30/2018 17:59,tourist,E - New Year and the Acquaintance Estimation,GNU C++14,Accepted,218 ms,9400 KB
224,47733861,Dec/30/2018 17:46,tourist,D - New Year and the Permutation Concatenation,GNU C++14,Accepted,202 ms,7800 KB
225,47729741,Dec/30/2018 17:40,tourist,C - New Year and the Sphere Transmission,GNU C++14,Accepted,46 ms,100 KB
226,47727280,Dec/30/2018 17:37,tourist,B - New Year and the Treasure Geolocation,GNU C++14,Accepted,31 ms,0 KB
227,47726595,Dec/30/2018 17:35,tourist,A - New Year and the Christmas Ornament,GNU C++14,Accepted,31 ms,200 KB
228,47131312,Dec/16/2018 19:23,tourist,G - Mergesort Strikes Back,GNU C++14,Accepted,62 ms,1400 KB
229,47123236,Dec/16/2018 18:26,tourist,F - Tricky Interactor,GNU C++14,Accepted,171 ms,0 KB
230,47117343,Dec/16/2018 17:58,tourist,E - Missing Numbers,GNU C++14,Accepted,202 ms,21800 KB
231,47114485,Dec/16/2018 17:47,tourist,B - Farewell Party,GNU C++14,Accepted,62 ms,3100 KB
232,47113486,Dec/16/2018 17:44,tourist,D - Maximum Distance,GNU C++14,Accepted,140 ms,2200 KB
233,47111844,Dec/16/2018 17:39,tourist,C - Colorful Bricks,GNU C++14,Accepted,31 ms,0 KB
234,47109099,Dec/16/2018 17:35,tourist,A - Definite Game,GNU C++14,Accepted,31 ms,0 KB
235,45528324,Nov/10/2018 18:52,tourist,D - Refactoring,GNU C++14,Accepted,265 ms,27300 KB
236,45525732,Nov/10/2018 18:34,tourist,F - Tree and XOR,GNU C++14,Accepted,1762 ms,23500 KB
237,45522574,Nov/10/2018 18:15,tourist,E - Segments on the Line,GNU C++14,Accepted,109 ms,200 KB
238,45518312,Nov/10/2018 17:54,tourist,C - Lucky Days,GNU C++14,Accepted,46 ms,0 KB
239,45516408,Nov/10/2018 17:47,tourist,B - Alice and Hairdresser,GNU C++14,Accepted,124 ms,1600 KB
